id;vsnr;sparte;zahlenrhytmus;antragsdatum;versicherungsbeginn;iban;created
1;Berkshire approach bypassing;SUHK;JAERLICH;2020-12-16T13:57:46;2020-12-16T16:59:53;RS73333320057450400250;2020-12-17T06:44:37
2;Pound Sterling Tennessee;SUHK;MONATLICH;2020-12-17T00:38:29;2020-12-16T14:52:27;IL440006047317044006198;2020-12-16T17:56:54
3;reboot Chief;KRANKEN;JAERLICH;2020-12-17T00:59:11;2020-12-17T06:47:45;NL21JMVV6800274180;2020-12-16T22:11:28
4;Credit Card Account Buckinghamshire generate;SUHK;MONATLICH;2020-12-16T19:31:42;2020-12-16T12:00:38;BE47721390400806;2020-12-16T18:48:21
5;Sports sky blue;SUHK;VIERTERJAERLICH;2020-12-16T16:39:08;2020-12-16T14:12:54;PK59N5540090060715859980;2020-12-16T14:59:49
6;Agent olive;KRANKEN;VIERTERJAERLICH;2020-12-17T01:13:32;2020-12-16T17:51:26;TN3382007060030162659387;2020-12-17T08:53:33
7;New Zealand Dollar;LV;MONATLICH;2020-12-17T08:59:54;2020-12-17T05:48:08;SA343286741D74O1446TN3V4;2020-12-16T18:07:51
8;Awesome Cotton Pants Pre-emptive;KRANKEN;VIERTERJAERLICH;2020-12-17T05:03:13;2020-12-17T07:16:53;MR9679036880109790080066001;2020-12-16T21:32:35
9;partnerships;LV;MONATLICH;2020-12-16T11:57:00;2020-12-16T10:25:23;RO38DGTF6X0400741375Y040;2020-12-16T20:53:46
10;Metal Specialist;KRANKEN;JAERLICH;2020-12-16T16:34:33;2020-12-17T04:21:04;DK6490038727008380;2020-12-16T22:30:19
